Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Lufthansa,2,Live garden week best.,2024-01-25,No,Very bad food.,Boeing 737,Family Leisure,Premium Economy,SYD to SIN,2024-04-12,5,1,4,3,3,1,3,No
Lufthansa,1,Century task local.,2023-10-02,Yes,Great service!,Boeing 787,Couple Leisure,Premium Economy,LHR to DXB,2023-08-20,3,3,3,2,4,4,4,Yes
Etihad,1,Treat market like as top.,2023-06-02,Yes,Great service!,Airbus A380,Family Leisure,Business,NYC to LAX,2024-09-30,3,2,2,1,4,1,1,Yes
British Airways,3,Minute culture international theory could.,2025-04-29,Yes,Poor customer support.,Airbus A380,Couple Leisure,Premium Economy,LHR to DXB,2024-01-11,2,4,1,5,3,1,5,No
Air India,5,Enjoy because than realize statement.,2025-04-30,Yes,Great service!,Airbus A320,Solo Leisure,Economy,FRA to JFK,2024-09-16,4,1,5,2,4,1,1,Yes
Emirates,5,Student force you all local.,2023-06-16,No,Poor customer support.,Airbus A380,Family Leisure,First,SYD to SIN,2024-10-19,4,2,4,1,4,2,5,No
Emirates,2,Bank about leader common.,2024-09-23,Yes,Very bad food.,Boeing 777,Family Leisure,First,NYC to LAX,2025-05-17,2,5,4,4,1,3,2,Yes
Air India,3,Group trade whom head you.,2023-11-17,No,Fantastic flight!,Boeing 737,Couple Leisure,Economy,LHR to DXB,2024-05-21,4,5,4,1,4,5,2,No
Lufthansa,2,Program chance them clear.,2024-02-09,Yes,Great service!,Airbus A320,Business,Premium Economy,NYC to LAX,2025-05-11,1,5,1,2,1,4,2,No
Delta,5,Also country weight science air beat.,2025-04-12,Yes,Fantastic flight!,Boeing 787,Solo Leisure,First,DEL to BOM,2025-01-05,1,1,2,2,2,5,4,No
Air India,1,Yard both reach.,2023-11-09,Yes,Average experience.,Boeing 787,Solo Leisure,Business,SYD to SIN,2025-04-15,3,1,5,5,3,4,1,Yes
Lufthansa,5,Democratic spring resource meeting strong.,2025-02-16,Yes,Poor customer support.,Airbus A320,Family Leisure,Premium Economy,DEL to BOM,2024-09-19,4,3,5,1,1,1,5,Yes
Singapore Airlines,5,Pick difference remain.,2025-02-08,Yes,Very bad food.,Airbus A320,Business,Premium Economy,SYD to SIN,2024-09-23,3,5,5,4,4,4,4,Yes
Singapore Airlines,3,Middle each spring leg floor.,2024-01-17,No,Average experience.,Airbus A380,Family Leisure,Economy,NYC to LAX,2023-07-31,3,1,1,3,4,4,5,No
Emirates,5,Answer late boy keep peace.,2023-10-19,No,Fantastic flight!,Airbus A380,Family Leisure,Premium Economy,SYD to SIN,2025-03-12,4,5,1,5,5,1,3,No
Delta,1,Mother yard student leg health.,2024-09-03,Yes,Very bad food.,Boeing 777,Business,Business,NYC to LAX,2024-04-04,3,4,2,2,4,2,3,Yes
Qatar Airways,4,Meeting image sit surface guy.,2023-12-18,No,Average experience.,Boeing 787,Family Leisure,Premium Economy,DEL to BOM,2025-04-23,3,2,4,2,1,3,1,No
