,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
21000,TUI Airways,9,"""service as a whole was very good""",18th July 2018,True," 
Flight to Cancun, cabin premium. Evening check in of baggage at LGW is helpful if staying overnight at the airport and was easily done. As part of their premium package they include premium security passes and lounge access, security was quick, the No 1 traveller lounge was busy but fine for quick snack. The aircraft was only 4 months old so was clean and well presented. Welcome drinks offered shortly after priority boarding and Rituals amenity pack handed out. On time departure. The inflight service as a whole was very good, bar service after take off and menu choices taken crew very attentive with a real can do attitude. The first meal was nicely presented with main course brought out separately after started finished. Good inflight movies etc and regular bar services during flight for those that wanted it. A tasty afternoon tea was served prior to landing with sandwiches, Victoria sponge cake and scone/roddas clotted cream. The first officer made announcements during the flight which being both a day and leisure flight was a nice touch. Baggage off belt quickly. A very good flight. I have to conclude by saying that holding a high tier status with our flag carrier, they were the alternative consideration. However, having flown with them regularly, they would not have emulated the service TUI provided in their premium economy cabin and a 20 year old 777 would have struggled to compete with the Dreamliner!",Boeing 787-9,Family Leisure,Premium Economy,London Gatwick to Cancun,July 2018,5.0,5.0,4.0,3.0,5.0,,5.0,yes
21001,TUI Airways,3,"""farce at the bag drop""",30th June 2018,False," Manchester to Palma. Arrived 3 hours before our morning flight from Manchester to Palma. Done everything we were asked to do, had our printed boarding cards so all that was left was to drop off our luggage. When we arrived at terminal 2 we were greeted by a queue almost the full length of the terminal which we were told to join. After about 30 minutes we got to the zig zag line so thought that we would soon be through, only to find that the queue extended down the tunnel towards terminal 3 for some 200 metres, doubled back then you got to the zig zag queue. After almost 3 hours with our flight time approaching we got to the root of the problem. Only 3 tui staff supervising travellers to check in their luggage using the installed self serve machines. We managed to check most of our luggage in, but the machine wouldnt accept one of them. We asked for assistance 3 times and waited but got no assistance for over half an hour. We then had the security checks to contend with, which is another story. We eventually made the flight but only because all TUI flights had to be delayed due to the farce at the bag drop. Never again!",,Family Leisure,Economy Class,Manchester to Palma,June 2018,3.0,4.0,3.0,3.0,,,2.0,no
21002,TUI Airways,8,"""helpful and very friendly""",30th May 2018,True,"  First time flying TUI long haul, this time from Manchester to Orlando Sanford. Very impressed on both legs. Staff genuinely helpful and very friendly. Flights left bang on time. Two rounds of free drinks 0 food not bad for economy. Afternoon Tea great. On return leg we had a row to ourselves. Would make it a priority to fly to Orlando with this operator again.",Boeing 787,Family Leisure,Economy Class,Manchester to Orlando,May 2018,4.0,5.0,4.0,4.0,5.0,,5.0,yes
21003,TUI Airways,1,"""Check-in chaotic and disorganised""",20th May 2018,True,"  Birmingham to Malaga. Check-in for the flight was extremely chaotic and disorganised. Queuing barriers were arranged near escalators causing unnecessary congestion and confusion amongst passengers. Airline staff were no where to be seen to offer assistance and guidance to passengers. Boarding seemed to go smoothly however this was probably because the Cabin Crew were not asking to see boarding passes. My seat was uncomfortable and unsupportive due to the padding being worn out. Food and drinks were very expensive (even at airline prices) so would recommend you buy in the airport before the flight. The in charge crew member was putting on some silly voice whilst making announcements which literally made me cringe and squirm in my seat. My seat area and tray table were filthy and the aircraft looked as though it had not been cleaned properly in a while e.g. large clumps of dust around air vents etc. Some of my travelling party are former cabin crew and spotted numerous things that the crew were not doing e.g. not checking boarding passes? How do you know who is getting on the plane. Noticed a crew member not allowing passengers to put their bags in emergency equipment compartments however then noticed the same crew member shoving her own shoes, coat and toiletries bags in the same area? Crew in general seemed very complacent when going about their duties.",Boeing 757,Family Leisure,Economy Class,Birmingham to Malaga,May 2018,1.0,1.0,1.0,1.0,,,1.0,no
21004,TUI Airways,6,"""operated by Sunwing""",18th May 2018,True,"  Norwich to Rhodes. TUI flight in fact operated by Canadian carrier Sunwing. Plane clean and tidy with seats that were more than adequate for the 4hr flight to Rhodes. Staff friendly enough, and stewardesses were British, but flight crew Canadian. Only two gripes, firstly, why do the airline try to get you to check in on line when, upon arriving at both departure airports, you are made to stand in a long queue with those who'd not checked in online? Complete waste of my time. And secondly (and TUI are by no means the only offenders) why did they have no food for purchase on the return leg? It is not rocket science to calculate that on a long-ish flight like that that passengers will want something to eat in both directions, so for goodness sake order enough from the caterers for BOTH legs of the flight. From TUI's point of view it makes sense as they missed out on making a fat profit on sandwiches etc they could have sold ! Otherwise, a decent product in the leisure market.",Boeing 737-800,Couple Leisure,Economy Class,Norwich to Rhodes,May 2018,4.0,4.0,2.0,2.0,,,4.0,yes
21005,TUI Airways,1,"""told they had now closed the flight""",27th April 2018,True,"  Gatwick to Las Palmas.  The customer experience made Ryanair look like a 5 star airline. Recently tried to fly with TUI to take my partner on holiday and get engaged. Unable to check in online for an unknown reason. Arrived at the airport check in area later than planned due to traffic, but on time according to the terms and conditions on the ticket. I was concerned about the length of the queue so sought assistance from a member of staff in Tui branding at the self check in desks, explained the situation and she checked flight times etc and told me we had plenty of time and to queue. After queuing I was told they had now closed the flight (while we were queuing) and we couldn’t board. I then had to run around the airport to find another flight. TUI’s customer services teams response, computer says no issues (effectively we can’t be bothered to investigate because we don’t want to have to compensate you) and the airport staff don’t work for us so we do my care (despite then wearing our branding). We flew with Tui on the return flight so I can review the flight experience which was nothing special. ",,Couple Leisure,Economy Class,Gatwick to Las Palmas,April 2018,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no
21006,TUI Airways,1,"""facilities and food were atrocious""",14th March 2018,True," Flew London Gatwick to Cancun. TUI should stick to short haul - they obviously have no experience of managing long haul. Apart from messing up our extra legroom seats, we then had to pay to 'downgrade' to get seats together. This was an 8-10 hour flight, but the facilities and food were atrocious - the cheapest, disposable, plastic earphones were totally unsuited to listening to a film - we both gave up. The quality of food served was on a par with airline food 30 year's ago - plastic chicken served going out and same on return. There are absolutely no frills whatsoever despite high prices. There is no comparison with recognised long haul carriers such as Virgin, Emirates, BA etc. This is short haul behaviour at long haul costs, with the added issue of paying to sit together (a Ryanair Scam). Dreamliner? Nightmare liner would be more apt.",Boeing 787 Dreamliner,Couple Leisure,Economy Class,London Gatwick to Cancun,March 2018,1.0,2.0,1.0,3.0,1.0,,1.0,no
21007,TUI Airways,8,"""Cabin crew were friendly""",16th February 2018,True," Excellent flight with TUI on the Dreamliner between London Gatwick and Barbados. Check-in was a breeze and queue not very long. Boarding was done by rows, which seemed to help with congestion. Seats were leater, which were ok for the flight duration, seat back screen clear and had the latest films and entertainment. Cabin crew were friendly and always on hand to get a new drink or answer any questions. Two hot meals provided on this 8 hours flight, one large and one small, which was nearly the same as what we received with BA on a 13 hours flight! Impressive! Captains were great and very informative, it was also nice having them come on the PA mid-way during the flight to provide an update on the conditions and how we were progressing, which doesn't happen that often any more on these flights. I would have no hesitation in flying TUI again.",Boeing 787-8,Couple Leisure,Economy Class,London Gatwick to Barbados,February 2018,4.0,5.0,4.0,5.0,4.0,,5.0,yes
21008,TUI Airways,1,"""excellence of her performance""",31st January 2018,True,  Stansted to Las Palmas. On January 29th I sustained an injury to my leg 5 minutes before boarding the aircraft caused by a rack of 3 wheelchairs striking my shin heavily as it was pushed away from the aircraft door along the narrow passageway by a Stansted employee. I was seated in an opposing wheelchair using assistance provided by the airport. On impact which caused me to cry out with pain and and the staff did nothing and continued on her way. On entering the cabin with great difficulty the Cabin Manager assessed the situation and seated me in the first available seat and applied a pack of ice to the injury. She carried out first aid throughout the flight raising my leg and applying ice and compression also as she could see I was somewhat shocked. Her care was exemplary and greatly reduced the bruising and severity of the injury. I didn’t secure her surname but I wish you to note the excellence of her performance. Consequently I have minimal swelling and bruising and discomfort so am able to continue my holiday. Many thanks to her!,Boeing 737-800,Couple Leisure,Economy Class,Stansted to Las Palmas,January 2018,4.0,5.0,,4.0,,,4.0,yes
21009,TUI Airways,9,"""a really good airline""",29th January 2018,True," Departure Airport - Firstly, an overview of the airport. We were checked in for our flight so quickly as we were called to an empty lane at CMF (their queues work differently there!). The staff were chatty and friendly. You are advised to go through security once called as there is not much on the other side. The queue was a bit long but we got moving within half an hour. After boarding, we had 20 minutes to relax until pushback. THE FLIGHT took off, and it was only five minutes late - rare that a TUI flight I go on is on time. The cabin service soon followed, but the rear trolley had to return to the galley as we had a lot of turbulence for the first half an hour. We descended and that turbulence went. The back trolley was back in service and we ordered our food. Unfortunately, they only had a bacon baguette or a ham and cheese toastie - in small numbers. Luckily, we were able to get two bacon baguettes. They were yummy, but a bit expensive. After that, there were final checks for the descent into Manchester. We were served well by the crew. Arrival Airport - We landed nice and punctual, but a little bottleneck happened as it said 'All bags will be delivered before 14.50'. Well, a little lie there as I only had one of my three bags by 14.50! The belt stopped and started again and we finally got all our bags around half an hour later. All in all, a really good airline, would fly again, but side note: they removed the seatback pockets and made this little storage area behind the tray table (when you see the photo below, you'll understand what I mean), where they put all the magazines and safety card.",Boeing 757-200,Family Leisure,Economy Class,Chambery (CMF) to Manchester (MAN),January 2018,4.0,5.0,3.0,5.0,,,4.0,yes
